length,homogeneity,completeness,v_measure,rmse
10,0.9752508710429537,0.9305256150822482,0.9523634311197225,3.0
11,0.9856738699700188,0.9496569764372704,0.9673302824130771,4.0
12,0.6193802317335182,0.8413043701160994,0.7134836569935703,4.0
13,0.8427064176158073,0.9587048876612261,0.896970901720317,1.0
14,0.603927038876314,0.919253004968648,0.7289509175389074,3.0
15,0.8622175387427746,0.961217235543285,0.9090298931605729,1.0
16,0.8818995180914585,0.9238568021068636,0.9023907151260331,3.0
17,0.788645283341276,0.9587568702262949,0.8654207985623531,2.0
18,0.8241698948141583,0.8948434047805001,0.8580538556240263,1.0
19,0.8200264504811635,0.9499153685737767,0.8802048966389002,1.0
20,0.7740312485240839,0.9519885598514507,0.853835964091254,3.0
21,0.8024496649120344,0.9233615760282813,0.8586700210306103,0.0
22,0.8358614412164779,0.9409800567989094,0.8853113204643179,1.0
23,0.7526644846764146,0.9532353495476361,0.8411588755080238,5.0
24,0.8552712918789005,0.9430182789172387,0.8970039917630107,1.0
25,0.8602573169015792,0.9520259315902396,0.9038181798701794,3.0
26,0.8206457235650568,0.9572644827385756,0.8837060514022015,2.0
27,0.8059140378115623,0.949810124628807,0.871965345205418,3.0
28,0.7889632552133301,0.9244807187339149,0.8513629022301787,2.0
29,0.7660749248720793,0.9202342618978903,0.8361081094487387,3.0
30,0.7937630296780478,0.9437328534036482,0.8622757109452863,3.0
31,0.7562466321946523,0.9416082618433376,0.8388091106798096,4.0
32,0.7691118381048191,0.9488499898149815,0.8495785504570678,5.0
2,0.9999999999999992,0.5669254360863952,0.7236150783311895,2.0
3,1.0000000000000002,0.7320313096107156,0.8452864628356448,1.0
4,1.0,1.0,1.0,0.0
5,0.7860209265438148,0.890035945590361,0.834800883241426,0.0
6,1.0,0.9747316022305018,0.9872041356197688,1.0
7,0.8894453799220069,0.9108702048776357,0.9000303083275134,1.0
8,0.8994650495247771,0.9710683265611036,0.9338962154954071,2.0
9,0.9685553266974997,0.931497285915209,0.9496649220011235,1.0
10,0.8616244681579679,0.8811207097817395,0.8712635358959264,2.0
11,0.8035510079811969,0.8706534479256142,0.8357574885368403,1.0
12,0.7352132536764447,0.9088101642697194,0.8128464236618859,1.0
13,0.8451573676500697,0.9728254152106365,0.9045086398549285,0.0
14,0.7021507398191011,0.8887985781271709,0.784526033786871,3.0
15,0.8442320193816661,0.9241719546592748,0.8823951619550456,0.0
16,0.8985480035852764,0.9097011386368669,0.9040901752917747,1.0
17,0.8873811517532929,0.9677520850992495,0.9258256418757514,0.0
18,0.806788317893225,0.9027556391298727,0.8520783575878216,0.0
19,0.7795857323506862,0.9242750625003532,0.8457869958276827,1.0
20,0.8296170963332596,0.9284847854921895,0.8762710053297318,0.0
21,0.8048242707466692,0.9223112049825856,0.8595717630525396,1.0
22,0.7483058325342252,0.9422098163414249,0.8341373255056473,2.0
23,0.7980447883886768,0.9624092072458131,0.8725540730338548,5.0
24,0.8036404574744543,0.9533730222933092,0.8721266405774736,2.0
25,0.8299687693743004,0.9515265019648972,0.8866004783376966,3.0
26,0.7926008091499835,0.9234028923237677,0.8530166677364229,3.0
27,0.7584217672268826,0.9377923147932833,0.8386230396463069,4.0
