,MAC Address,Channel,DS Channel,Vendor Specific Tags,Length,Label,Supported Rates 1,Supported Rates 2,Supported Rates 3,Supported Rates 4,Extended Supported Rates 1,Extended Supported Rates 2,Extended Supported Rates 3,Extended Supported Rates 4,Forty_Mhz_Intolerant,DSSS_CCK,Max_A_MSDU,Rx_STBC,Tx_STBC,Short_GI_40Mhz,SM_Power_Save,Supported_Channel_Width,LDPC_Coding_Capability,Min_MPDCU_Start_Spacing,Max_A_MPDU_Length_Exponent,RX_Highest_Supported_Data_Rate,RX_MSC_Bitmask,RD_Responder,HTC_HT_Support,MCS_Feedback,Compressed_Steering_n_Beamformer_Antennas_Supported,20_40_BSS_Coexistence_Management_Support,Extended_Channel_Switching,FMS,TFS,WNM_Sleep_Mode,TIM_Broadcast,BSS_Transition,Multiple_BSSID,Timing_Measurement,SSID_List,DMS,Interworking,QoS_Map,WNM_Notification,Operating_Mode_Notification
24,02:46:e3:80:1e:99,1,1.0,62,132,iPhone11_M,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
25,02:53:5c:2a:c4:b3,6,4.0,62,135,iPhone12_M,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26,02:57:44:ca:4f:4e,6,6.0,62,132,iPhone11_B,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
27,02:57:c6:80:e7:b4,11,11.0,62,131,iPhone12_W,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
28,02:59:a8:79:24:48,11,9.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
29,02:5d:25:81:75:b8,11,1.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
30,02:61:5a:96:62:24,1,3.0,62,143,iPhone12_W,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
31,02:64:a9:45:e1:b0,11,6.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
32,02:64:b0:61:28:32,1,3.0,62,143,iPhone12_W,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
33,02:68:10:83:f0:61,6,5.0,62,132,iPhone11_C,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34,02:69:1d:58:5a:59,1,1.0,62,118,iPhone7_X,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,
35,02:71:dc:6f:49:fa,11,11.0,62,131,iPhone12_W,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
36,02:73:6d:61:92:44,1,2.0,62,143,iPhone12_W,65.0,66.0,69.5,75.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37,02:76:78:88:52:e2,1,1.0,62,102,iPhoneXR_L,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,3.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
38,02:77:58:67:ad:de,11,1.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
39,02:7a:98:0a:f1:3b,11,1.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
40,02:7c:28:f1:b0:32,11,1.0,52,154,SamsungS7_I,1.0,2.0,5.5,11.0,6.0,9.0,12.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
