,HT Capabilities,HT Capabilities,HT Capabilities,Extended Capabilities,Extended Capabilities,Extended Capabilities,Vendor Specific Tags,Vendor Specific Tags,Vendor Specific Tags,Supported Rates,Supported Rates,Supported Rates,Extended Supported Rates,Extended Supported Rates,Extended Supported Rates,VHT Capabilities,VHT Capabilities,VHT Capabilities,HE Capabilities,HE Capabilities,HE Capabilities
,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length
MAC Address,,,,,,,,,,,,,,,,,,,,,
ca:fc:62:e6:8d:e0,52,52,52.0,15,15,15.0,22,22,22.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
ca:ff:1d:21:4c:47,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:01:fc:0c:56:fe,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:02:14:a6:4f:b9,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:16:11:10:24:a8,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:19:0c:86:08:b1,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:19:ea:8d:d7:a3,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:1b:95:0b:f5:df,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
ce:1e:79:be:60:b5,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:26:fa:58:72:02,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:2a:3e:0f:f5:a3,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:42:34:72:11:15,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
ce:46:94:8b:2f:2a,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:48:5a:71:c3:57,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:4d:be:58:18:a3,3,3,3.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
ce:55:09:0b:65:79,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:5a:f7:4e:f8:a6,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:5b:e5:26:ca:0e,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:5c:14:45:98:19,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:60:d0:25:90:39,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:65:f0:2a:16:f0,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:6b:b3:c9:b6:85,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:6c:c7:83:25:82,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:6d:88:55:26:9f,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:72:29:c7:57:93,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:76:f4:0c:34:b3,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:7a:f6:a0:bf:06,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:7b:fb:d6:32:e6,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
ce:7e:3a:e2:ea:c6,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:7e:ef:33:c6:cc,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:81:fa:46:5a:db,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
ce:84:0c:1a:04:f8,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:86:88:db:cc:e1,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:8a:ce:0a:86:d3,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:8d:1e:d3:cc:13,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:8d:61:1d:91:b7,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:8e:c4:73:09:41,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:91:32:1d:69:1a,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
ce:98:a2:dc:7a:61,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:9d:37:8d:34:aa,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:9d:e0:2e:37:ec,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:9e:18:4e:50:85,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:9e:6f:eb:54:bf,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:a3:55:4d:e1:dd,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:ab:20:cc:82:05,3,3,3.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
ce:ab:38:8c:57:37,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:ae:89:5d:9c:e2,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:b0:5f:7f:09:af,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:b0:f0:13:dc:e4,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:ba:ad:8d:33:4f,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:c2:e1:f8:5e:50,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:d1:61:69:7e:9b,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:d5:a2:1a:61:22,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:dd:8b:96:72:ff,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:e4:f5:5c:6d:e8,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:e8:17:9c:27:69,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:ec:01:56:23:24,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
ce:f5:e5:0f:22:a8,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:f6:a8:04:f5:e4,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
ce:f6:ff:e0:72:3d,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
ce:f8:72:26:86:12,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:02:8a:8b:30:8d,52,52,52.0,15,15,15.0,22,22,22.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d2:02:bf:50:8d:de,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:16:98:38:34:99,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d2:17:a7:ab:24:bd,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:19:7d:d2:ec:66,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:1b:0f:9b:6a:41,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:1f:59:a6:74:5b,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:23:e4:31:50:ce,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:27:7a:be:b5:09,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:29:74:35:59:df,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:2b:44:a2:f9:5d,3,3,3.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d2:30:a5:32:33:51,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:32:77:3d:ca:90,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:39:63:85:12:28,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d2:39:6c:ad:86:c6,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:3c:7d:d7:0e:2f,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:3c:d8:0f:52:7d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:3e:21:1c:e6:2f,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:3f:a7:55:39:39,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:40:1e:53:be:36,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:43:0f:4b:4d:6b,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:43:58:7f:4b:c7,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:48:1f:05:a9:0e,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:49:b3:a9:e5:56,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:4b:30:d1:06:3d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:4b:b9:8e:5e:5b,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d2:53:0a:d4:4f:99,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:58:67:2e:6a:b7,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:5b:42:ef:34:47,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:63:44:ee:c9:d4,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d2:64:21:ae:c4:d0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d2:6b:aa:b5:fb:ed,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:71:98:b2:bc:b8,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:76:49:9e:b6:56,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:79:28:88:0d:e1,52,52,52.0,3,3,3.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d2:86:64:c5:33:1b,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:8c:50:4b:03:05,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d2:8c:90:62:f3:fd,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:90:12:c6:54:34,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:91:d8:89:03:9f,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:95:62:11:08:22,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:95:ea:a2:ae:39,52,52,52.0,22,22,22.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,52,52,52.0
d2:97:30:6d:3a:8b,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
d2:9d:af:fb:28:53,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:a1:74:d4:78:3a,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:a5:7f:8c:bf:37,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d2:a6:58:34:0f:43,52,52,52.0,15,15,15.0,22,22,22.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d2:a7:fc:a6:e6:12,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:a8:11:60:3c:8a,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:ac:a3:ff:bb:c0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:d4:66:8a:e4:95,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:dc:49:38:ab:f1,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:f8:fc:41:1a:47,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d2:fd:f5:79:fe:dd,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:0f:82:a7:8b:52,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:0f:be:b5:52:5e,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:13:28:29:c4:f2,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d6:19:51:5e:82:86,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
d6:1c:61:73:f4:14,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:1e:7c:0c:ce:4d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:21:77:e9:c9:be,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:23:b5:38:f5:25,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:25:1a:cb:25:0f,52,52,52.0,15,15,15.0,22,22,22.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d6:29:6d:78:bd:e1,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d6:2b:22:1f:1f:0a,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:2f:12:4e:07:8a,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:2f:5f:29:75:71,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:32:6c:6c:bb:61,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:3c:bb:2e:95:dc,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:3f:5f:cf:a1:0f,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:48:d6:a9:e6:d0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:4b:51:e3:56:dc,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:51:cf:22:64:fb,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:54:4b:36:db:8c,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:56:2d:d7:5b:c6,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
d6:5a:ed:6c:56:e4,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d6:67:82:f7:ca:bb,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:68:22:b1:34:1b,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:71:3c:3c:55:89,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:7a:cc:9b:d3:23,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
d6:7d:1d:16:13:b1,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:7f:f1:f7:6e:9f,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:84:23:ee:2c:c3,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:89:8d:0e:61:28,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:89:f3:b6:b7:de,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:8c:23:15:5a:b6,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:8c:38:2e:3b:56,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:8c:9c:90:d6:a3,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:96:56:fb:c5:92,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:9c:7b:98:07:24,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:a1:c1:c2:e4:4e,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:a3:71:e0:59:4e,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:af:99:81:40:31,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:b1:dd:64:fe:cb,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:b5:59:c1:5b:aa,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:bb:1b:10:0c:e0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:be:c4:55:82:aa,52,52,52.0,3,3,3.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d6:da:c6:d8:41:27,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
d6:db:74:58:7d:4d,52,52,52.0,19,19,19.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,6,6,6.0
d6:dd:f0:40:d5:30,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:ea:9d:65:7a:c0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:f0:97:f0:8c:a4,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
d6:f7:9d:b6:7a:97,52,52,52.0,19,19,19.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,6,6,6.0
d6:fc:08:4e:21:32,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:12:db:a7:ae:90,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:17:41:28:2f:c0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:17:46:e9:6c:69,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:18:3f:e4:1d:e9,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:19:53:66:66:6a,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:1f:bd:bc:8f:20,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:24:60:8f:b5:09,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:2b:b9:11:39:99,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:31:93:ae:69:d6,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:3a:c2:38:a8:7e,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:3d:a1:91:b3:2d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:40:da:18:3a:0c,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:44:13:91:cd:63,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:44:75:61:87:2d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:44:95:13:e6:eb,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:4d:b1:16:41:8b,3,3,3.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:4f:9b:99:42:d0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:57:9f:1b:b6:8f,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:5b:9e:16:35:b6,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:60:30:25:1f:35,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:61:8b:bb:ad:a4,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
da:65:7c:ef:fc:6b,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:69:cc:b8:5c:8c,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:6b:36:60:8a:94,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
da:6c:6a:f2:43:54,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
