,HT Capabilities,HT Capabilities,HT Capabilities,Extended Capabilities,Extended Capabilities,Extended Capabilities,Vendor Specific Tags,Vendor Specific Tags,Vendor Specific Tags,Supported Rates,Supported Rates,Supported Rates,Extended Supported Rates,Extended Supported Rates,Extended Supported Rates,VHT Capabilities,VHT Capabilities,VHT Capabilities,HE Capabilities,HE Capabilities,HE Capabilities
,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length
MAC Address,,,,,,,,,,,,,,,,,,,,,
02:ab:6d:5e:38:03,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:b1:87:4c:e5:17,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:b8:33:24:4b:a7,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:b8:94:8c:4a:a9,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:b8:a1:e1:fe:3a,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:bc:a8:5a:82:fd,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:bd:43:b4:e1:b0,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:be:5b:65:4b:56,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:be:88:96:25:88,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:c2:cd:11:3e:91,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:c3:1f:d5:fb:9e,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:c7:33:10:57:04,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:c8:c5:10:8c:9f,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:cb:0b:2a:31:03,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:cb:f3:2f:3f:30,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:ce:e7:6e:08:32,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:d1:5d:7d:58:a4,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
02:d4:33:b3:2b:34,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:de:f5:1a:96:e5,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:e1:77:2c:4d:d5,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:f7:3b:d0:25:26,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:f7:4d:1c:b1:10,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:f9:f2:c3:e6:9e,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:fd:74:4d:50:ab,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
06:05:ab:b6:e5:b5,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
06:10:2e:3b:1f:49,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:12:e5:be:fd:75,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:14:9b:b3:15:f6,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:15:5e:9a:f2:71,52,52,52.0,6,6,6.0,18,18,18.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
06:19:55:69:6e:bd,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:1e:cc:b7:bb:54,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:39:91:eb:99:ca,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:3a:8b:46:45:3f,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
