Labels Combination,homogeneity,v_measure,completeness,No. of Clusters,No. of Noise,rmse,length
"('iPhone6_N', 'SamsungJ6_K', 'iPhoneXR_A', 'iPhoneXR_L', 'OppoFindX3Neo_A', 'iPhone7_F', 'HuaweiP20_G', 'iPhone12_W', 'iPhoneXSMax_M', 'SamsungS7_I', 'GooglePixel3A_L', 'iPhone12_M', 'SamsungM31_A', 'iPhone12Pro_C', 'iPhone7_X', 'S21Ultra_M', 'iPhone11_F', 'HuaweiL21_D', 'OnePlusNord_O', 'iPhone11_B', 'iPhone11_M', 'XiaomiRedmiNote9S_T', 'XiaomiRedmi4_B', 'iPhone11_C', 'SamsungS4_C', 'XiaomiRedmi5_J', 'HuaweiHonor9_R', 'GooglePixel3A_V', 'XiaomiRedmiNote7_S', 'SamsungS6_H')",0.8552362873597726,0.9011227368214692,0.9522122916539386,20,0,10.0,30
"('SamsungS6_H', 'iPhone12_W', 'SamsungM31_A', 'S21Ultra_M', 'iPhone7_F', 'HuaweiHonor9_R', 'iPhone12_M', 'iPhoneXR_A', 'SamsungS4_C', 'iPhone11_C', 'XiaomiRedmi5_J', 'iPhoneXSMax_M', 'XiaomiRedmiNote7_S', 'iPhoneXR_L', 'GooglePixel3A_L', 'HuaweiL21_D', 'iPhoneXR_U', 'HuaweiP20_G', 'SamsungJ6_K', 'HuaweiP10_Q', 'XiaomiRedmiNote9S_T', 'GooglePixel3A_V', 'XiaomiA2_E', 'OnePlusNord_O', 'XiaomiRedmi4_B', 'iPhone11_M', 'iPhone12Pro_C', 'SamsungS7_I', 'OppoFindX3Neo_A', 'iPhone11_F', 'iPhone6_N')",0.8355113734519176,0.8871053913376415,0.9454907952354018,21,0,10.0,31
"('SamsungS6_H', 'XiaomiRedmi5_J', 'GooglePixel3A_V', 'iPhone11_M', 'SamsungS7_I', 'GooglePixel3A_L', 'iPhoneXR_U', 'iPhone12_W', 'XiaomiRedmiNote7_S', 'iPhone11_F', 'iPhone12Pro_C', 'OnePlusNord_O', 'SamsungS4_C', 'iPhone7_X', 'HuaweiHonor9_R', 'SamsungM31_A', 'iPhone12_M', 'HuaweiL21_D', 'iPhone11_C', 'HuaweiP10_Q', 'S21Ultra_M', 'iPhone11_B', 'iPhone6_N', 'iPhoneXR_A', 'HuaweiP20_G', 'SamsungJ6_K', 'iPhoneXSMax_M', 'XiaomiRedmiNote9S_T', 'XiaomiA2_E', 'iPhoneXR_L', 'iPhone7_F', 'XiaomiRedmi4_B')",0.8254615819901439,0.8823893015245461,0.947750651402918,20,0,12.0,32
"('iPhone12_M', 'SamsungS4_C', 'iPhone11_B', 'XiaomiRedmiNote9S_T', 'SamsungJ6_K', 'SamsungS6_H', 'XiaomiRedmiNote7_S', 'GooglePixel3A_L', 'iPhone7_X', 'iPhoneXSMax_M', 'OnePlusNord_O', 'SamsungS7_I', 'iPhoneXR_A', 'iPhoneXR_L', 'SamsungM31_A', 'XiaomiA2_E', 'iPhone6_N', 'XiaomiRedmi5_J', 'iPhone11_C', 'HuaweiL21_D', 'S21Ultra_M', 'OppoFindX3Neo_A', 'HuaweiHonor9_R', 'GooglePixel3A_V', 'HuaweiP10_Q', 'HuaweiP20_G', 'iPhone12_W', 'iPhone12Pro_C', 'XiaomiRedmi4_B', 'iPhoneXR_U', 'iPhone11_M', 'iPhone7_F', 'iPhone11_F')",0.830890881704585,0.8848822592333074,0.9463780020802736,22,0,11.0,33
"('HuaweiHonor9_R', 'XiaomiRedmi4_B')",1.0,0.8474198607856398,0.7352372576567834,2,0,0.0,2
"('iPhoneXR_L', 'HuaweiP10_Q', 'iPhoneXR_A')",0.7832559370855119,0.8245241975595271,0.8703830176243127,3,0,0.0,3
"('iPhone6_N', 'SamsungS6_H', 'iPhone12_M', 'iPhoneXR_U')",0.91882311865148,0.9384419562243519,0.9589168813310802,3,0,1.0,4
"('iPhone12_W', 'XiaomiRedmi4_B', 'SamsungJ6_K', 'GooglePixel3A_L', 'OnePlusNord_O')",0.9453792966795942,0.8764593633807806,0.8169054180774701,7,0,2.0,5
"('iPhone7_F', 'XiaomiA2_E', 'HuaweiP20_G', 'iPhone12_W', 'iPhone11_M', 'XiaomiRedmi5_J')",0.7355371711231693,0.7763118510872344,0.8218725537492094,7,4,1.0,6
"('iPhoneXR_A', 'HuaweiL21_D', 'XiaomiRedmiNote7_S', 'OppoFindX3Neo_A', 'iPhone7_F', 'iPhoneXR_U', 'XiaomiA2_E')",0.9176985115000653,0.8973129564026356,0.8778134004846563,9,1,2.0,7
"('S21Ultra_M', 'iPhoneXR_A', 'iPhone11_F', 'XiaomiRedmi5_J', 'XiaomiRedmiNote7_S', 'iPhone11_B', 'SamsungM31_A', 'iPhone12_M')",0.9049002067527089,0.9196319237214804,0.9348512416047723,7,2,1.0,8
"('iPhone7_X', 'iPhone7_F', 'iPhone6_N', 'iPhoneXR_A', 'XiaomiRedmiNote7_S', 'XiaomiA2_E', 'HuaweiP20_G', 'iPhone12Pro_C', 'XiaomiRedmi4_B')",0.981430128959452,0.9323835015420895,0.8880057259860258,13,0,4.0,9
"('iPhone7_X', 'XiaomiRedmi5_J', 'iPhone12_M', 'OppoFindX3Neo_A', 'iPhone6_N', 'iPhone11_C', 'S21Ultra_M', 'iPhoneXR_L', 'iPhone12_W', 'iPhoneXR_U')",0.7525406321593596,0.8228159117701972,0.9075683003414526,10,1,0.0,10
"('iPhoneXR_U', 'XiaomiRedmi4_B', 'S21Ultra_M', 'XiaomiA2_E', 'HuaweiHonor9_R', 'iPhone11_M', 'SamsungJ6_K', 'OppoFindX3Neo_A', 'iPhoneXR_L', 'SamsungM31_A', 'iPhone12Pro_C')",0.9231152708805785,0.8964997549107036,0.871375999974904,13,1,2.0,11
"('HuaweiP20_G', 'S21Ultra_M', 'HuaweiP10_Q', 'OppoFindX3Neo_A', 'SamsungS6_H', 'iPhone11_M', 'iPhoneXR_L', 'iPhone7_F', 'OnePlusNord_O', 'HuaweiHonor9_R', 'SamsungS7_I', 'iPhone12_W')",0.8183967168561301,0.861357947099507,0.9090795148200522,15,6,3.0,12
"('iPhone11_F', 'iPhoneXR_A', 'SamsungS7_I', 'GooglePixel3A_V', 'OnePlusNord_O', 'iPhone6_N', 'iPhoneXR_L', 'SamsungS6_H', 'iPhone12_M', 'XiaomiRedmiNote9S_T', 'iPhone11_M', 'GooglePixel3A_L', 'iPhone12Pro_C')",0.7704122669508481,0.840208024578828,0.923909956891649,10,0,3.0,13
"('iPhone12_M', 'iPhoneXR_L', 'GooglePixel3A_L', 'SamsungS4_C', 'SamsungJ6_K', 'iPhoneXSMax_M', 'SamsungS6_H', 'SamsungS7_I', 'XiaomiRedmiNote7_S', 'iPhone12Pro_C', 'iPhone7_F', 'iPhone11_B', 'OppoFindX3Neo_A', 'XiaomiRedmi4_B')",0.9040469213672034,0.9241545736029512,0.9451770345649391,14,1,0.0,14
"('XiaomiA2_E', 'XiaomiRedmiNote7_S', 'SamsungS7_I', 'XiaomiRedmi4_B', 'GooglePixel3A_L', 'SamsungS6_H', 'SamsungM31_A', 'iPhone11_F', 'iPhone12_W', 'iPhone7_F', 'HuaweiP20_G', 'iPhoneXSMax_M', 'HuaweiP10_Q', 'iPhone11_B', 'iPhoneXR_U')",0.8939986259837907,0.9016235390652715,0.9093796367670851,14,0,1.0,15
"('GooglePixel3A_V', 'iPhone12_W', 'XiaomiRedmiNote9S_T', 'iPhoneXR_L', 'iPhone11_F', 'GooglePixel3A_L', 'HuaweiHonor9_R', 'iPhone11_C', 'SamsungS7_I', 'HuaweiP10_Q', 'XiaomiA2_E', 'HuaweiP20_G', 'iPhoneXSMax_M', 'S21Ultra_M', 'SamsungS6_H', 'SamsungM31_A')",0.7406424621832289,0.816249816583453,0.9090486604930287,15,0,1.0,16
"('SamsungS7_I', 'iPhoneXR_A', 'SamsungM31_A', 'iPhoneXR_L', 'iPhone12_M', 'SamsungS6_H', 'S21Ultra_M', 'iPhone7_X', 'iPhoneXSMax_M', 'iPhone6_N', 'HuaweiHonor9_R', 'XiaomiRedmi4_B', 'GooglePixel3A_L', 'XiaomiRedmiNote7_S', 'GooglePixel3A_V', 'SamsungS4_C', 'OppoFindX3Neo_A')",0.9202733004723782,0.9355647587223151,0.9513729758385634,15,1,2.0,17
"('HuaweiP10_Q', 'HuaweiHonor9_R', 'iPhone12_M', 'GooglePixel3A_L', 'OppoFindX3Neo_A', 'OnePlusNord_O', 'iPhone6_N', 'iPhoneXR_A', 'iPhone11_B', 'iPhoneXSMax_M', 'iPhone7_X', 'iPhone12Pro_C', 'XiaomiRedmi4_B', 'HuaweiL21_D', 'XiaomiRedmiNote9S_T', 'iPhone7_F', 'XiaomiA2_E', 'S21Ultra_M')",0.8856925928011847,0.8954917838136219,0.9055102347138541,17,0,1.0,18
"('iPhone12Pro_C', 'SamsungM31_A', 'iPhone11_B', 'iPhoneXR_L', 'iPhoneXSMax_M', 'iPhone11_M', 'HuaweiL21_D', 'iPhone12_M', 'HuaweiP20_G', 'SamsungJ6_K', 'iPhone6_N', 'XiaomiRedmiNote9S_T', 'GooglePixel3A_L', 'iPhone7_X', 'iPhone11_F', 'SamsungS6_H', 'XiaomiRedmiNote7_S', 'OnePlusNord_O', 'GooglePixel3A_V')",0.8109323259254155,0.8670688134152419,0.9315553872919433,15,0,4.0,19
"('XiaomiRedmi4_B', 'OnePlusNord_O', 'iPhone11_M', 'iPhone12_M', 'SamsungJ6_K', 'iPhone7_F', 'iPhone11_F', 'iPhone11_B', 'HuaweiL21_D', 'XiaomiRedmiNote9S_T', 'GooglePixel3A_V', 'SamsungS4_C', 'XiaomiRedmiNote7_S', 'SamsungS7_I', 'iPhone6_N', 'HuaweiHonor9_R', 'XiaomiRedmi5_J', 'SamsungM31_A', 'GooglePixel3A_L', 'iPhone12_W')",0.8892957576755417,0.9224069244527858,0.9580791029020577,12,0,8.0,20
"('iPhone6_N', 'iPhoneXR_U', 'HuaweiL21_D', 'SamsungS7_I', 'SamsungS4_C', 'iPhone11_C', 'iPhoneXSMax_M', 'XiaomiA2_E', 'iPhone11_M', 'HuaweiP10_Q', 'iPhoneXR_A', 'HuaweiP20_G', 'XiaomiRedmi5_J', 'S21Ultra_M', 'XiaomiRedmiNote7_S', 'XiaomiRedmi4_B', 'iPhone12_W', 'iPhone12_M', 'XiaomiRedmiNote9S_T', 'iPhone7_X', 'SamsungJ6_K')",0.8776710780999913,0.9085718258508436,0.9417278633239232,19,0,2.0,21
"('XiaomiRedmiNote7_S', 'iPhone11_C', 'iPhone7_F', 'OppoFindX3Neo_A', 'iPhone6_N', 'HuaweiHonor9_R', 'S21Ultra_M', 'XiaomiA2_E', 'iPhoneXR_A', 'iPhone12_W', 'XiaomiRedmiNote9S_T', 'iPhone11_B', 'SamsungS6_H', 'SamsungM31_A', 'GooglePixel3A_L', 'XiaomiRedmi4_B', 'iPhone11_F', 'HuaweiP20_G', 'iPhone12_M', 'HuaweiL21_D', 'iPhoneXSMax_M', 'HuaweiP10_Q')",0.8759802424865787,0.9026930915490553,0.9310863920466391,19,0,3.0,22
"('iPhone11_F', 'XiaomiRedmiNote7_S', 'iPhone7_X', 'iPhone11_B', 'iPhone11_M', 'S21Ultra_M', 'iPhoneXR_U', 'GooglePixel3A_L', 'XiaomiRedmi5_J', 'OnePlusNord_O', 'HuaweiHonor9_R', 'OppoFindX3Neo_A', 'SamsungS7_I', 'XiaomiRedmi4_B', 'iPhone6_N', 'iPhoneXSMax_M', 'iPhoneXR_A', 'iPhone12_M', 'XiaomiRedmiNote9S_T', 'SamsungS6_H', 'iPhone12_W', 'GooglePixel3A_V', 'HuaweiP10_Q')",0.871917566185408,0.9020843530662754,0.9344133833405317,18,0,5.0,23
"('XiaomiA2_E', 'iPhone12_W', 'iPhone11_M', 'OppoFindX3Neo_A', 'SamsungJ6_K', 'iPhone11_F', 'XiaomiRedmiNote9S_T', 'SamsungS4_C', 'XiaomiRedmi4_B', 'XiaomiRedmiNote7_S', 'XiaomiRedmi5_J', 'iPhoneXR_U', 'SamsungS7_I', 'iPhone12Pro_C', 'SamsungM31_A', 'iPhone7_F', 'iPhoneXSMax_M', 'S21Ultra_M', 'HuaweiP10_Q', 'iPhoneXR_L', 'HuaweiL21_D', 'GooglePixel3A_V', 'SamsungS6_H', 'HuaweiP20_G')",0.8632636411402395,0.9007213001364669,0.9415770362786963,20,0,4.0,24
