,MAC Address,FSCT-1,FSCT-2,FSCT-3,FSCT-4,FSCT-5,FSCT-6,FSCT-7,FSCT-8,FSCT-9,FSCT-10,FSCT-11,FSCT-12,FSCT-13,Label
45,02:8f:27:02:c8:a0,0.0,0.083481073,0.168186903,1.0,0.340893983,0.42512989,1.0,1.0,0.676650047,0.760234118,0.844734907,0.929299116,1.016562939,SamsungS7_I
46,02:92:18:20:0f:af,0.0,0.022433043,0.044969082,0.067367077,1.0,1.0,1.0,1.0,0.166974068,0.209120035,0.226317883,0.248605967,0.266011,GooglePixel3A_V
47,02:98:40:a8:95:03,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
48,02:99:a2:23:76:f8,1.0,1.0,1.0,0.0,0.029963016,0.089956045,1.0,0.179957867,1.0,0.254245996,0.289242983,0.359027863,0.399129868,iPhoneXSMax_M
49,02:9a:6e:43:e4:6c,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
50,02:9e:52:3d:4c:82,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
51,02:9e:d0:33:e6:fd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone12_W
52,02:a1:c2:e8:ae:2c,0.0,0.084197998,0.169821024,1.0,1.0,0.431473017,1.0,1.0,0.682455063,0.765966892,0.84946394,0.93301487,1.017153025,SamsungS7_I
53,02:a3:cc:9e:fb:d9,0.0,0.085724115,0.170367002,1.0,1.0,0.422304153,0.505726099,1.0,0.672750949,0.757254123,0.841755151,0.92625904,1.014361143,SamsungS7_I
54,02:a8:21:b2:4e:26,0.0,0.044842959,0.085047007,1.0,1.0,0.212785006,0.275284052,1.0,0.360913038,0.383969069,0.42670703,0.469380141,0.512431145,GooglePixel3A_L
55,02:a8:86:01:9e:fa,0.0,0.085061073,0.169491053,1.0,1.0,0.470827103,1.0,1.0,0.68069911,0.765290976,0.849792004,0.934370041,1.022943974,SamsungS7_I
56,02:ab:6d:5e:38:03,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
57,02:b1:87:4c:e5:17,0.0,0.083966017,0.17378211,1.0,1.0,0.437061071,1.0,1.0,0.695048094,0.779541016,0.864047051,0.948539019,1.032780171,SamsungS7_I
58,02:b8:33:24:4b:a7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
59,02:b8:94:8c:4a:a9,0.0,0.08910203,0.172154188,1.0,1.0,0.425652981,1.0,1.0,0.716485977,0.760560989,0.844063044,0.927616119,1.016146183,SamsungS7_I
60,02:b8:a1:e1:fe:3a,1.0,0.0,0.088766098,1.0,1.0,0.345612049,1.0,1.0,0.603264094,0.687757969,0.772267103,0.856884957,0.940045119,SamsungS7_I
61,02:bc:a8:5a:82:fd,0.0,0.085402966,0.169358015,1.0,1.0,0.42137599,1.0,1.0,0.68427682,0.767798901,0.852305889,0.936877966,1.021102906,SamsungS7_I
62,02:bd:43:b4:e1:b0,0.0,0.083724022,0.167420149,1.0,1.0,0.430543185,1.0,1.0,0.69739914,0.780977965,0.864478112,0.948035002,1.032332182,SamsungS7_I
63,02:be:5b:65:4b:56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone12_W
64,02:be:88:96:25:88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,iPhone11_B
65,02:c2:cd:11:3e:91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
66,02:c3:1f:d5:fb:9e,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_B
67,02:c7:33:10:57:04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,iPhone12_M
68,02:c8:c5:10:8c:9f,0.0,0.083301782,0.168008804,1.0,1.0,0.420598984,1.0,1.0,0.673197985,0.762940884,0.851624966,0.941401005,1.030764818,SamsungS7_I
69,02:cb:0b:2a:31:03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,iPhone11_C
70,02:cb:f3:2f:3f:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone12_W
71,02:ce:e7:6e:08:32,0.0,0.04640317,0.092859983,1.0,1.0,0.224671125,1.0,1.0,0.355247021,0.399769068,0.443286181,0.487931013,0.532405138,SamsungS7_I
72,02:d1:5d:7d:58:a4,0.0,0.058989048,0.106513977,0.149913071,0.19268012,0.215044021,0.279303073,0.322175979,1.0,1.0,0.430907011,1.0,1.0,XiaomiRedmiNote9S_T
73,02:d4:33:b3:2b:34,1.0,0.0,0.084112882,1.0,1.0,0.337489843,1.0,1.0,0.589461803,0.672513962,0.780661821,0.843132019,0.929680824,SamsungS7_I
74,02:de:f5:1a:96:e5,0.0,0.084300995,0.168287993,1.0,0.336553097,0.421983958,1.0,1.0,0.675570965,0.760131121,0.844650984,0.928220034,1.019413948,SamsungS7_I
75,02:e1:77:2c:4d:d5,0.0,0.08496809,0.170447111,1.0,1.0,0.43148899,1.0,1.0,0.684991121,0.76852107,0.852046013,0.935544014,1.023416996,SamsungS7_I
76,02:f7:3b:d0:25:26,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_C
77,02:f7:4d:1c:b1:10,0.0,0.083414078,0.167342901,1.0,1.0,0.420325041,1.0,1.0,0.672767877,0.756265879,0.839761972,0.923319101,1.00751996,SamsungS7_I
78,02:f9:f2:c3:e6:9e,0.0,0.084702968,0.168382883,1.0,1.0,0.426653862,1.0,1.0,0.679646969,0.763231039,0.846941948,0.931510925,1.018754005,SamsungS7_I
79,02:fd:74:4d:50:ab,0.0,0.083578109,0.167521953,1.0,1.0,1.0,1.0,1.0,0.67902112,0.762516021,0.846651077,0.931179046,1.019083976,SamsungS7_I
80,06:05:ab:b6:e5:b5,0.0,0.084815979,0.147716046,0.214365959,0.279875994,0.319316149,0.40337205,0.473677159,0.545235157,1.0,0.63488698,1.0,1.0,OnePlusNord_O
81,06:10:2e:3b:1f:49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,iPhone11_C
82,06:12:e5:be:fd:75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone12_W
83,06:14:9b:b3:15:f6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_B
84,06:15:5e:9a:f2:71,0.0,0.04284501,0.12537384,0.209788799,0.334095955,0.377310991,0.462066888,0.585021972,0.627614975,0.751736879,0.794867992,0.877745866,0.960971832,SamsungJ6_K
85,06:19:55:69:6e:bd,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
86,06:1e:cc:b7:bb:54,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone11_M
