,Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
376,2021-06-29 08:30:39.204916954,da:a1:19:71:e5:2a,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
377,2021-06-29 08:40:52.071576118,da:a1:19:e5:4d:6b,11,13.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
378,2021-06-29 13:24:05.978089094,5c:c3:07:07:af:59,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
379,2021-06-29 12:46:39.218883991,da:a1:19:5d:e6:cc,1,6.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
380,2021-06-29 08:32:36.951359034,da:a1:19:1e:b5:a8,1,3.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
381,2021-06-29 12:29:45.915685892,da:a1:19:8c:8b:5b,1,3.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
382,2021-06-29 12:18:26.104887962,da:a1:19:e0:19:ce,11,10.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
383,2021-06-29 09:09:00.455676079,da:a1:19:3a:78:3d,1,1.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
384,2021-06-29 12:21:14.040277004,da:a1:19:04:fb:d8,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
385,2021-06-29 12:57:09.647790909,da:a1:19:dd:27:61,11,11.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
386,2021-06-29 12:29:45.894006968,da:a1:19:8c:8b:5b,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
387,2021-06-29 12:25:22.882929087,da:a1:19:8c:0b:a6,1,3.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
388,2021-06-29 13:39:48.675010920,5c:c3:07:07:af:59,11,12.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
389,2021-06-29 08:59:01.302576065,da:a1:19:34:8e:70,11,12.0,0,22,53,1ecb967c,0,0,-1,-1,163,HuaweiHonor9_R
390,2021-06-29 12:46:08.809886932,da:a1:19:9c:6e:77,1,1.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
391,2021-06-29 08:33:40.052886009,da:a1:19:11:a4:dc,11,11.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
392,2021-06-29 08:30:39.561827898,da:a1:19:71:e5:2a,1,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
