,Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label,Length NO SSID
25421,2021-06-03 08:36:23.232743979,00:be:3b:a2:a8:56,11,6.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25422,2021-06-03 08:40:01.442640066,00:be:3b:a2:a8:56,11,10.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25423,2021-06-03 09:55:07.923870087,00:be:3b:a2:a8:56,11,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25424,2021-06-03 09:23:19.942930937,00:be:3b:a2:a8:56,1,2.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25425,2021-06-03 08:37:31.097414017,00:be:3b:a2:a8:56,11,2.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25426,2021-06-03 08:31:52.709578037,00:be:3b:a2:a8:56,11,8.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25427,2021-06-03 08:40:01.034388065,00:be:3b:a2:a8:56,1,1.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25428,2021-06-03 08:38:31.493062019,00:be:3b:a2:a8:56,1,11.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25429,2021-06-03 08:33:23.396326065,00:be:3b:a2:a8:56,11,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25430,2021-06-03 08:38:01.410582066,00:be:3b:a2:a8:56,1,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25431,2021-06-03 08:35:23.130404948,00:be:3b:a2:a8:56,11,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25432,2021-06-03 08:43:07.442853928,00:be:3b:a2:a8:56,6,6.0,2,4,54,-1,0,0,-1,-1,141,HuaweiP20_G,141
25433,2021-06-03 10:37:35.891438961,00:be:3b:a2:a8:56,11,6.0,2,5,54,-1,0,0,-1,-1,145,HuaweiP20_G,145
25434,2021-06-03 10:42:36.420295954,00:be:3b:a2:a8:56,11,12.0,2,5,54,-1,0,0,-1,-1,145,HuaweiP20_G,145
25435,2021-06-03 08:43:07.577953100,00:be:3b:a2:a8:56,11,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25436,2021-06-03 08:43:37.620203018,00:be:3b:a2:a8:56,11,10.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25437,2021-06-03 08:32:53.287842989,00:be:3b:a2:a8:56,6,6.0,2,4,54,-1,0,0,-1,-1,141,HuaweiP20_G,141
25438,2021-06-03 09:23:20.257807970,00:be:3b:a2:a8:56,11,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25439,2021-06-03 09:19:20.430370092,00:be:3b:a2:a8:56,11,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
